pair_type,aligned,target_file,target_dir,input_file,input_dir,patient,view
real_same_patient,0,00000005_003.png,clear,00000005_000.png,overexposed,5,PA
real_same_patient,0,00000011_002.png,clear,00000011_001.png,overexposed,11,PA
real_same_patient,0,00000034_001.png,clear,00000034_000.png,overexposed,34,PA
real_same_patient,0,00000040_000.png,clear,00000040_003.png,overexposed,40,PA
real_same_patient,0,00000041_002.png,clear,00000041_000.png,overexposed,41,PA
real_same_patient,0,00000047_001.png,clear,00000047_000.png,overexposed,47,PA
real_same_patient,0,00000050_003.png,clear,00000050_002.png,overexposed,50,PA
real_same_patient,0,00000054_005.png,clear,00000054_004.png,overexposed,54,PA
real_same_patient,0,00000061_009.png,clear,00000061_008.png,overexposed,61,AP
real_same_patient,0,00000073_000.png,clear,00000073_001.png,overexposed,73,PA
real_same_patient,0,00000073_004.png,clear,00000073_003.png,overexposed,73,PA
real_same_patient,0,00000091_006.png,clear,00000091_005.png,overexposed,91,PA
real_same_patient,0,00000093_002.png,clear,00000093_001.png,overexposed,93,PA
real_same_patient,0,00000100_001.png,clear,00000100_000.png,overexposed,100,PA
real_same_patient,0,00000105_000.png,clear,00000105_001.png,overexposed,105,PA
real_same_patient,0,00000105_004.png,clear,00000105_005.png,overexposed,105,PA
real_same_patient,0,00000112_002.png,clear,00000112_000.png,overexposed,112,PA
real_same_patient,0,00000118_007.png,clear,00000118_008.png,overexposed,118,PA
real_same_patient,0,00000121_001.png,clear,00000121_000.png,overexposed,121,PA
real_same_patient,0,00000131_001.png,clear,00000131_002.png,overexposed,131,PA
real_same_patient,0,00000139_001.png,clear,00000139_002.png,overexposed,139,PA
real_same_patient,0,00000144_000.png,clear,00000144_003.png,overexposed,144,PA
real_same_patient,0,00000151_001.png,clear,00000151_000.png,overexposed,151,PA
real_same_patient,0,00000177_005.png,clear,00000177_004.png,overexposed,177,PA
real_same_patient,0,00000184_000.png,clear,00000184_001.png,overexposed,184,PA
real_same_patient,0,00000187_000.png,clear,00000187_001.png,overexposed,187,PA
real_same_patient,0,00000190_004.png,clear,00000190_005.png,overexposed,190,PA
real_same_patient,0,00000194_002.png,clear,00000194_001.png,overexposed,194,PA
real_same_patient,0,00000200_001.png,clear,00000200_000.png,overexposed,200,PA
real_same_patient,0,00000213_002.png,clear,00000213_000.png,overexposed,213,PA
real_same_patient,0,00000213_002.png,clear,00000213_001.png,overexposed,213,PA
real_same_patient,0,00000246_001.png,clear,00000246_002.png,overexposed,246,PA
real_same_patient,0,00000246_018.png,clear,00000246_019.png,overexposed,246,PA
real_same_patient,0,00000250_015.png,clear,00000250_016.png,overexposed,250,PA
real_same_patient,0,00000265_002.png,clear,00000265_001.png,overexposed,265,PA
real_same_patient,0,00000278_003.png,clear,00000278_004.png,overexposed,278,PA
real_same_patient,0,00000278_007.png,clear,00000278_008.png,overexposed,278,PA
real_same_patient,0,00000278_010.png,clear,00000278_009.png,overexposed,278,PA
real_same_patient,0,00000281_000.png,clear,00000281_001.png,overexposed,281,PA
